lng,lat,year,value
-40.3421,-20.3289,2000,863640
-40.85,-14.8573,2000,183057
-35.2944,-8.1175,2000,94734
-44.1276,-22.519,2000,371642
-49.9734,-20.4173,2000,64307
-48.2756,-15.7413,2000,67421
23.0941,42.0125,2000,56568
27.4617,42.5075,2000,117781
27.837,43.5703,2000,67750
25.556,41.9337,2000,63645
24.3323,42.1911,2000,53283
24.6171,43.415,2000,86776
24.7574,42.1409,2000,338650
25.9658,43.8437,2000,135185
26.9312,43.2708,2000,57226
26.3301,42.6768,2000,67178
23.3253,42.6853,2000,918660
25.627,42.4221,2000,117066
27.908,43.2199,2000,268196
23.5527,43.2105,2000,53681
26.5071,42.4828,2000,77879
-4.7526,10.6419,2000,69943
-4.2905,11.1837,2000,397127
-3.4554,12.4664,2000,58654
0.3653,12.0596,2000,70665
-1.0844,13.0818,2000,73149
-2.3633,12.2546,2000,105197
-1.5272,12.3617,2000,878214
-2.4174,13.5674,2000,74091
-0.3757,11.7885,2000,89777
29.3958,-3.0825,2000,50945
29.3779,-3.3742,2000,354241
29.924,-3.4299,2000,93845
29.6287,-2.9264,2000,51686
30.3389,-2.8456,2000,64992
29.8234,-2.9054,2000,54963
-23.5944,15.0635,2000,108943
-24.9826,16.8847,2000,56167
103.2086,13.1035,2000,164747
105.4564,11.9907,2000,53237
104.9094,11.5499,2000,1137147
103.8611,13.3585,2000,84836
102.9672,13.5892,2000,67226
11.2274,4.7499,2000,59180
10.415,5.4862,2000,233991
10.1582,5.9641,2000,259815
14.3637,4.4365,2000,67690
13.6862,4.5773,2000,119742
9.2751,4.1563,2000,94190
9.7397,4.0513,2000,1454511
10.0565,5.4487,2000,57435
11.1556,2.9215,2000,88667
10.1267,3.7928,2000,61946
10.8954,5.7284,2000,151982
13.3921,9.3225,2000,386948
13.9436,9.9307,2000,132298
14.4449,10.1053,2000,90057
15.0195,12.0831,2000,154768
9.9183,2.9517,2000,62426
9.4462,4.6343,2000,187689
10.6816,6.2105,2000,119668
9.2005,4.0181,2000,98967
14.9518,10.8446,2000,54212
9.3136,5.7507,2000,61657
14.3231,10.6016,2000,330786
11.5079,3.5218,2000,52859
10.255,5.6237,2000,57730
14.2876,6.5166,2000,69142
13.8033,10.7398,2000,162075
14.1374,11.0457,2000,71708
10.4369,5.9895,2000,54403
13.5824,7.3129,2000,164036
10.7001,6.5805,2000,56763
9.9365,4.9592,2000,118630
15.0532,10.8485,2000,71011
11.9807,2.9375,2000,52890
15.3527,7.7695,2000,51881
10.0766,6.3903,2000,64483
15.2303,10.3405,2000,121961
11.5177,3.8497,2000,1578631
-122.3116,49.0528,2000,73995
-80.2618,43.1558,2000,61912
-79.7946,43.3645,2000,57386
-114.1408,51.0533,2000,497506
-80.307,43.3639,2000,56661
-113.5268,53.558,2000,401903
-113.9545,51.0794,2000,144531
-80.254,43.5429,2000,70910
-63.5855,44.6605,2000,176529
-79.8515,43.2334,2000,374086
-75.7291,45.2787,2000,60101
-80.5096,43.4442,2000,172476
-122.6907,49.1124,2000,70478
-81.2488,42.9847,2000,266020
-73.4663,45.4993,2000,297433
-113.4177,53.4616,2000,77600
-73.666,45.5364,2000,2117518
-79.1069,43.0997,2000,63349
-75.5026,45.4669,2000,85054
-78.8828,43.9042,2000,202944
-75.7077,45.3955,2000,452721
-79.1074,43.8633,2000,149832
-71.253,46.8383,2000,334678
-104.6129,50.4547,2000,167629
-73.2689,45.3231,2000,57833
-71.322,46.7628,2000,66545
-82.3778,42.9817,2000,58975
-106.6462,52.1263,2000,154041
