iso3c,year,value
MWI,2024,0
MYS,2015,0.39
MYS,2016,0.52
MYS,2017,0.95
MYS,2018,1.32
MYS,2019,1.35
MYS,2020,1.01
MYS,2021,1.67
MYS,2022,4.34
MYS,2023,1.89
MYS,2024,1.27
NAM,2015,0
NAM,2016,0
NAM,2017,0
NAM,2018,0
NAM,2019,0
NAM,2020,0
NAM,2021,0
NAM,2022,0
NAM,2023,0
NAM,2024,0
NER,2015,1.93
NER,2016,1.94
NER,2017,2.37
NER,2018,2.45
NER,2019,2.48
NER,2020,2.52
NER,2021,2.46
NER,2022,2.33
NER,2023,2.41
NER,2024,2.41
NGA,2015,0.03
NGA,2016,0
NGA,2017,0.6
NGA,2018,0.7
NGA,2019,0.74
NGA,2020,0.8
NGA,2021,0.74
NGA,2022,0.96
NGA,2023,0.83
NGA,2024,0.79
NIC,2015,0
NIC,2016,0.43
NIC,2017,0.44
NIC,2018,0.4
NIC,2019,0.34
NIC,2020,0.34
NIC,2021,0.34
NIC,2022,0.33
NIC,2023,0.33
NIC,2024,0.33
NLD,2015,0.76
NLD,2016,0.81
NLD,2017,0.83
NLD,2018,0.8
NLD,2019,0.61
NLD,2020,0.59
NLD,2021,0.61
NLD,2022,0.84
NLD,2023,0.8
NLD,2024,0.64
NOR,2015,0
NOR,2016,0
NOR,2017,0
NOR,2018,0
NOR,2019,0
NOR,2020,0.07
NOR,2021,0
NOR,2022,0
NOR,2023,0
NOR,2024,0
NPL,2015,0
NPL,2016,0.26
NPL,2017,0.09
NPL,2018,0.05
NPL,2019,0
NPL,2020,0
NPL,2021,0
NPL,2022,0
NPL,2023,0
NPL,2024,0
NZL,2015,0
NZL,2016,0
NZL,2017,0
NZL,2018,0
NZL,2019,0
NZL,2020,0
NZL,2021,0
NZL,2022,0
NZL,2023,0
NZL,2024,0
OMN,2015,2.4
OMN,2016,0.25
OMN,2017,0.86
OMN,2018,1.74
OMN,2019,1.52
OMN,2020,1.56
OMN,2021,1.68
OMN,2022,3.39
OMN,2023,1.77
OMN,2024,1.3
PAK,2015,1.23
PAK,2016,0.96
PAK,2017,1.03
PAK,2018,1.55
PAK,2019,1.23
PAK,2020,1.29
PAK,2021,1.97
PAK,2022,3.88
PAK,2023,1.77
PAK,2024,1.55
PAN,2015,0.19
PAN,2016,0.16
PAN,2017,0.17
PAN,2018,0.19
PAN,2019,0.25
PAN,2020,0.19
PAN,2021,0.1
PAN,2022,0.07
PAN,2023,0.08
PAN,2024,0.08
PER,2015,0
PER,2016,0
PER,2017,0
PER,2018,0.01
PER,2019,0
PER,2020,0
PER,2021,0
PER,2022,0
PER,2023,0
PER,2024,0
PHL,2015,0
PHL,2016,0.02
PHL,2017,0.36
PHL,2018,0.03
PHL,2019,0.01
PHL,2020,0.33
PHL,2021,0.17
PHL,2022,0.28
PHL,2023,0.12
PHL,2024,0.12
PNG,2015,0
PNG,2016,0
PNG,2017,0
PNG,2018,0
PNG,2019,0
PNG,2020,0
PNG,2021,0
PNG,2022,0
PNG,2023,0
PNG,2024,0
POL,2015,0.19
POL,2016,0.33
POL,2017,0.79
POL,2018,0.82
POL,2019,0.72
POL,2020,0.27
POL,2021,0.72
POL,2022,1.01
POL,2023,0.74
POL,2024,0.68
PRT,2015,0
PRT,2016,0
PRT,2017,0
PRT,2018,0
PRT,2019,0
PRT,2020,0.05
PRT,2021,0
PRT,2022,0
PRT,2023,0
PRT,2024,0
PRY,2015,0.19
PRY,2016,0.44
PRY,2017,0.09
PRY,2018,0.04
PRY,2019,0.3
PRY,2020,0.43
PRY,2021,0.31
PRY,2022,0.54
PRY,2023,0.29
PRY,2024,0.29
QAT,2015,2.35
QAT,2016,1.45
QAT,2017,2.22
QAT,2018,2.86
QAT,2019,1.8
QAT,2020,1.28
QAT,2021,5.36
QAT,2022,11.67
QAT,2023,6.5
QAT,2024,5.65
ROU,2015,0.8
ROU,2016,0.9
ROU,2017,0.87
ROU,2018,0.58
ROU,2019,0.47
ROU,2020,0.33
ROU,2021,0.52
ROU,2022,0.37
ROU,2023,0.38
ROU,2024,0.37
RUS,2015,2.65
RUS,2016,1.55
RUS,2017,1.79
RUS,2018,3.03
RUS,2019,1.96
RUS,2020,1.83
RUS,2021,2.02
RUS,2022,3.27
RUS,2023,2.27
RUS,2024,2
RWA,2015,0.39
RWA,2016,0.29
RWA,2017,0.25
RWA,2018,0.37
RWA,2019,0.35
RWA,2020,0.55
RWA,2021,0.66
RWA,2022,0.76
RWA,2023,0.6
RWA,2024,0.57
SAU,2015,9.44
SAU,2016,6.59
SAU,2017,7.1
SAU,2018,6.25
SAU,2019,4.81
SAU,2020,3.91
SAU,2021,7.12
SAU,2022,13.81
SAU,2023,7.71
SAU,2024,6.46
SDN,2015,1.17
SDN,2016,1.15
SDN,2017,5.44
SDN,2018,9.84
SDN,2019,10.01
SDN,2020,8.27
SDN,2021,11.3
SDN,2022,10.84
SDN,2023,8.81
SDN,2024,8.29
SEN,2015,0.16
SEN,2016,0.08
SEN,2017,0.44
SEN,2018,0.9
SEN,2019,1.08
SEN,2020,1.09
SEN,2021,1.04
SEN,2022,1.03
SEN,2023,1.04
SEN,2024,1.04
SGP,2015,0.26
SGP,2016,0.37
SGP,2017,0.57
SGP,2018,1.09
SGP,2019,1.78
SGP,2020,2.22
SGP,2021,2.07
SGP,2022,1.88
SGP,2023,1.88
SGP,2024,1.9
SLB,2015,0
SLB,2016,0
SLB,2017,0
SLB,2018,0
SLB,2019,0
SLB,2020,0
SLB,2021,0
SLB,2022,0
SLB,2023,0
SLB,2024,0
SLE,2015,0
SLE,2016,0
SLE,2017,0.16
SLE,2018,0.38
SLE,2019,0.09
SLE,2020,0.1
SLE,2021,0.11
SLE,2022,0.1
SLE,2023,0.09
SLE,2024,0.09
SLV,2015,0.57
SLV,2016,1.36
SLV,2017,2.15
SLV,2018,1.3
SLV,2019,1.43
SLV,2020,1.85
SLV,2021,1.49
SLV,2022,1.36
SLV,2023,1.37
SLV,2024,1.35
SRB,2015,0.17
SRB,2016,0.08
SRB,2017,1.11
SRB,2018,1.18
SRB,2019,1.05
SRB,2020,0.98
SRB,2021,2.09
SRB,2022,4.1
SRB,2023,2.26
SRB,2024,1.99
STP,2015,0
STP,2016,0
STP,2017,0
STP,2018,3.8
STP,2019,4.24
STP,2020,4.2
STP,2021,4.14
STP,2022,4.29
STP,2023,4.28
STP,2024,4.42
